respondent_id,party_name,country_name,is_populist,populist_and_farleft,populist_and_farright,income_decile,income_feeling,paid_work,econ_satisfaction,unemp_3m,years_education,financial_difficulty_childhood,immig_same_ethnic,immig_diff_ethnic,immig_poor_nonEU,gay_rights_freedom,gay_adoption_rights,eu_integration,europe_attachment,country_attachment,child_obedience,leader_loyalty,tradition_important,pleasure_important,trust_politicians,trust_parties,trust_parliament,influence_on_politics,confident_participation,active_politics_role,political_interest,left_right_scale,party_closeness,ess_round,age,gender,ethnic_majority_identity,disc_nationality,disc_race,disc_ethnicity,born_in_country,citizen,how_religious,religion_belonging,religion_attendance,vote_x,vote_code,farright,farleft,eurosceptic,in_parliament,partyfacts_id,parlgov_id,vote_y
72442,PP,Spain,0,0,0,10,2,1,2,2,16,5,1,2,3,2,4,5,5,5,3,3,2,4,0,0,0,1,1,1,3,5,2,11,41,2,1,0,0,0,1,1,0,2,7,1,1.0,0,0,,,,,1
72449,PSOE,Spain,0,0,0,6,2,1,4,2,12,4,2,2,2,1,1,4,7,9,4,4,4,3,5,5,6,2,2,4,2,5,1,11,58,1,1,0,0,0,1,1,5,2,7,1,2.0,0,0,,,,,1
72449,PSOE,Spain,0,0,0,9,2,1,5,2,13,3,2,2,2,1,2,5,5,9,1,4,2,4,3,2,5,1,1,1,4,8,1,11,48,2,1,0,0,0,1,1,0,2,7,1,2.0,0,0,,,,,1
72449,PSOE,Spain,0,0,0,7,1,1,4,2,16,3,4,4,4,4,4,7,4,4,3,2,4,3,6,6,6,2,3,2,3,4,2,11,52,2,1,0,0,0,1,1,9,1,2,1,2.0,0,0,,,,,1
72457,PP,Spain,0,0,0,2,4,0,0,2,10,3,3,4,2,3,1,2,0,5,2,2,3,2,3,3,1,1,2,1,3,9,2,11,34,1,1,0,0,0,1,1,0,2,7,1,1.0,0,0,,,,,2
72457,PP,Spain,0,0,0,8,1,0,8,2,18,5,2,2,2,4,3,8,9,9,1,2,1,4,6,6,6,1,3,1,2,8,1,11,90,1,1,0,0,0,2,2,4,1,6,1,1.0,0,0,,,,,1
72483,Vox,Spain,1,0,1,7,1,1,7,1,14,5,3,3,3,3,4,5,8,10,2,2,4,1,3,5,4,1,2,1,2,8,1,11,53,1,1,0,0,0,1,1,5,1,7,1,3.0,1,0,1.0,1.0,3218.0,2380.0,1
72501,Unidas Podemos,Spain,1,1,0,7,2,1,0,2,13,2,2,2,2,1,1,4,5,7,3,3,5,4,3,3,3,2,3,1,4,3,2,11,33,2,1,0,0,0,1,1,2,1,6,1,13.0,0,1,1.0,1.0,7656.0,2724.0,1
72501,Unidas Podemos,Spain,1,1,0,4,1,0,4,1,10,2,1,1,1,1,1,10,3,7,4,5,5,5,0,0,2,1,1,1,2,0,1,11,74,1,1,0,0,0,2,1,0,2,7,1,13.0,0,1,1.0,1.0,7656.0,2724.0,1
72501,Unidas Podemos,Spain,1,1,0,3,2,0,3,1,11,4,3,3,3,2,4,6,9,9,1,4,1,6,5,8,5,2,4,4,2,5,1,11,66,1,1,0,0,0,1,1,9,1,3,1,13.0,0,1,1.0,1.0,7656.0,2724.0,1
72570,EH-Bildu,Spain,0,0,0,8,1,1,6,2,20,4,2,1,2,2,2,6,7,5,4,5,4,5,4,4,4,3,2,1,2,3,1,11,58,1,1,0,0,0,1,1,1,2,7,1,7.0,0,0,,,,,1
