uuid,year,valuation,revenue
1852384f-aaa2-4336-b49b-b34f70dd9668,2023,4263000000.0,399356000.0
0a921786-a809-4a13-bf5c-c21005dae007,2023,294700000.0,266538000.0
3c2e4842-ac79-483c-a085-09bc992dc600,2024,1560000000.0,291400000.0
3c2e4842-ac79-483c-a085-09bc992dc600,2026,1575000000.0,300600000.0
1aa4aed8-2135-4446-96ed-34e1a6544224,2017,817000000.0,215040000.0
1aa4aed8-2135-4446-96ed-34e1a6544224,2018,1090000000.0,129000.0
1aa4aed8-2135-4446-96ed-34e1a6544224,2019,2484000000.0,12984751.0
1aa4aed8-2135-4446-96ed-34e1a6544224,2020,10726000000.0,48958000.0
1aa4aed8-2135-4446-96ed-34e1a6544224,2021,4650000000.0,144312000.0
1aa4aed8-2135-4446-96ed-34e1a6544224,2022,1938000000.0,215040000.0
1aa4aed8-2135-4446-96ed-34e1a6544224,2023,1897000000.0,266719000.0
c9f51811-78ac-471c-85be-852144c08028,2020,901700000.0,32302000.0
c9f51811-78ac-471c-85be-852144c08028,2021,610300000.0,74007000.0
c9f51811-78ac-471c-85be-852144c08028,2022,258200000.0,101328000.0
329d42cf-7b31-40f8-8fbb-e786a77da74c,2022,6660000000.0,2211551000.0
329d42cf-7b31-40f8-8fbb-e786a77da74c,2023,6652000000.0,2137834000.0
5ea534b1-ea7e-4d96-afdc-f0c0a17e86a5,2018,5164000000.0,563800000.0
