cb_uuid,round_announced_on,round_raised_amount_usd
009544b3-511a-4fe8-89f0-4af7a57aa204,2020-02-23,14000000.0
12d1b893-6c91-3335-52a7-6fda72139022,2021-10-21,28000000.0
009544b3-511a-4fe8-89f0-4af7a57aa204,2022-03-16,125000000.0
12ff3d12-8e5f-bb0e-d7df-1b4490260098,2024-01-11,77994.0
13890487-d170-4da1-a36c-732f29d9d9e9,2012-01-31,800000.0
13890487-d170-4da1-a36c-732f29d9d9e9,2018-06-21,621775000.0
13a24681-9aa1-eaaf-41f6-1e23be9a7801,2018-01-01,16000000.0
13ce4912-059c-4550-8685-fa2f8b40b269,2024-02-08,4999998.0
13dc504f-7d44-4eb0-87fb-bccc0f55a0bf,2021-02-09,1900000.0
14140ff2-e88b-fd43-77ba-43d0a4675402,2001-11-30,2737771.0
09dd4567-ff1a-4d1e-93fe-5cd3f10b808e,2021-08-20,100000000.0
156a5ef9-68be-4e88-8edd-758e0e5193b7,2023-02-17,29999993.0
15a03898-74d9-bfd0-d974-a20ea7f8d3f4,2010-02-25,10333082.0
15a03898-74d9-bfd0-d974-a20ea7f8d3f4,2012-05-16,8600000.0
15a03898-74d9-bfd0-d974-a20ea7f8d3f4,2019-07-29,149500000.0
15d119e6-d721-3baf-da4b-880891c0c3fd,2021-11-08,1200000000.0
00aeb1c7-5343-4908-a7c4-e6b3b472a2f7,2023-06-07,20000000.0
00aeb1c7-5343-4908-a7c4-e6b3b472a2f7,2024-08-01,80000000.0
1729862c-4302-da3b-db69-71b9957893ec,2011-12-14,10600000.0
17eac2be-53e5-489d-893a-770453425a41,2019-08-19,6238140.0
17eac2be-53e5-489d-893a-770453425a41,2024-05-23,46999682.0
1836577c-7a4b-480a-b26a-9df015f7f894,2024-06-11,19970226.0
183a92ef-9263-294f-0108-74196d10c430,2021-08-16,30000000.0
186e8e50-68db-5d1b-ace6-920bd117a14b,2015-06-15,6500000.0
199e8b62-a19e-f729-fedd-b30c250793a8,2023-10-29,1020826649.0
19a7049c-6118-2f3c-c406-e5b231cb7d5a,2011-05-03,4102097.0
1a5b572f-b0bd-4dfe-ad9d-7529b48f75a2,2022-11-15,32000000.0
1a652de1-b49a-43fb-8943-36c29a1158f1,2019-02-08,2000000.0
1ac25206-3b8a-b4a6-48b3-5df4b671e586,2018-04-14,800000.0
1ac25206-3b8a-b4a6-48b3-5df4b671e586,2020-12-02,855000000.0
1ac25206-3b8a-b4a6-48b3-5df4b671e586,2020-12-02,3055000000.0
1ad51a4e-3416-9570-05b7-9420e4e8d5fc,2020-03-01,375000000.0
1ad51a4e-3416-9570-05b7-9420e4e8d5fc,2015-04-14,89000000.0
1ad51a4e-3416-9570-05b7-9420e4e8d5fc,2017-10-24,91250000.0
1ad51a4e-3416-9570-05b7-9420e4e8d5fc,2018-05-01,147487500.0
1bdf2ff7-23ef-da61-ff51-cfb2eb9feea0,2021-09-01,30000000.0
1c24e068-59ab-0479-57f8-6cf92a14df12,2012-05-01,1587723.0
1c24e068-59ab-0479-57f8-6cf92a14df12,2017-08-17,44935452.0
1c6d4b45-5312-a5cb-e130-f1da72d96a06,2021-01-11,30000000.0
0e0836b7-c6de-468b-8ee2-771deb3c9796,2018-08-15,20000000.0
105b4542-7539-4407-9f9c-aae6093fc7aa,2020-12-23,38222209.0
105b4542-7539-4407-9f9c-aae6093fc7aa,2021-12-21,78467067.0
1cfd4bbd-602f-47e2-bdd4-489e9aa70432,2019-09-06,5058010.0
1cfd4bbd-602f-47e2-bdd4-489e9aa70432,2020-05-28,1554000.0
1d018c0a-368e-830b-e0c3-95812f205367,2016-03-07,100000000.0
1d54d5fe-2409-19f4-179d-5d0adb7abee9,2014-08-01,400000.0
1d54d5fe-2409-19f4-179d-5d0adb7abee9,2015-10-01,1000000.0
1d606457-d8e4-02d2-5299-1010dec53885,2011-11-15,5469457.0
1d606457-d8e4-02d2-5299-1010dec53885,2012-05-08,4193074.0
1d606457-d8e4-02d2-5299-1010dec53885,2014-01-29,3502340.0
1d80dd27-6f84-4227-a4dc-23065370a50e,2021-08-20,5000000.0
1e37df1c-7254-4e37-8928-4e1bae00c64c,2022-10-26,100000000.0
1e8fdce4-bc6d-f898-b078-8cd4a9c2f577,2017-03-27,30510618.0
1e8fdce4-bc6d-f898-b078-8cd4a9c2f577,2019-10-03,50584657.0
1e8fdce4-bc6d-f898-b078-8cd4a9c2f577,2020-05-13,90000000.0
1e8fdce4-bc6d-f898-b078-8cd4a9c2f577,2021-03-02,110000000.0
1eba1e1e-608a-78e2-bb5f-d75c09e2ede3,2022-08-02,362500000.0
0931940c-2f33-a964-0cbd-62757f6fd78a,2016-02-15,500000.0
0931940c-2f33-a964-0cbd-62757f6fd78a,2017-10-06,2250000.0
0931940c-2f33-a964-0cbd-62757f6fd78a,2019-09-19,2871432.0
0931940c-2f33-a964-0cbd-62757f6fd78a,2019-10-20,1400000.0
0931940c-2f33-a964-0cbd-62757f6fd78a,2020-06-25,6089308.0
0931940c-2f33-a964-0cbd-62757f6fd78a,2020-11-11,5231827.0
0931940c-2f33-a964-0cbd-62757f6fd78a,2021-05-24,22653369.0
0931940c-2f33-a964-0cbd-62757f6fd78a,2021-06-28,20000000.0
0931940c-2f33-a964-0cbd-62757f6fd78a,2021-07-29,10168042.0
1fec1a78-80e8-fa54-a40f-867409d28be2,2008-08-08,3841478.0
2012fd74-ba1e-440a-97f0-5235dc1e83fe,2022-03-01,5125000.0
01115fd8-63ed-4fbb-878a-12dc9a438cc5,2021-08-19,29192512.0
01115fd8-63ed-4fbb-878a-12dc9a438cc5,2022-01-19,85068736.0
01115fd8-63ed-4fbb-878a-12dc9a438cc5,2023-09-19,53407335.0
21447a34-2905-7ff6-9852-b8ba5abb4ff7,2011-05-12,1000000.0
21447a34-2905-7ff6-9852-b8ba5abb4ff7,2015-04-08,51000000.0
21447a34-2905-7ff6-9852-b8ba5abb4ff7,2017-05-26,30000000.0
21447a34-2905-7ff6-9852-b8ba5abb4ff7,2017-12-12,19975000.0
